id;title;url;cover;rate
25823277;三生三世十里桃花;https://movie.douban.com/subject/25823277/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2494279388.jpg;3.9
11502973;星际特工：千星之城;https://movie.douban.com/subject/11502973/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2496088130.jpg;7.0
26926321;缝纫机乐队;https://movie.douban.com/subject/26926321/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498558511.jpg;6.8
2133433;迷镇凶案;https://movie.douban.com/subject/2133433/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2508546069.jpg;6.1
27073291;太空救援;https://movie.douban.com/subject/27073291/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508922375.jpg;7.7
26965165;马斯顿教授与神奇女侠;https://movie.douban.com/subject/26965165/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2502244869.jpg;8.0
24753477;蜘蛛侠：英雄归来;https://movie.douban.com/subject/24753477/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497756471.jpg;7.4
26852888;关原之战;https://movie.douban.com/subject/26852888/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455501032.jpg;7.0
26593587;天才少女;https://movie.douban.com/subject/26593587/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2394315478.jpg;8.1
26890502;推理笔记;https://movie.douban.com/subject/26890502/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2506041645.jpg;4.5
26365022;完美音调3;https://movie.douban.com/subject/26365022/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2467159410.jpg;6.0
26445216;军舰岛;https://movie.douban.com/subject/26445216/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2462745948.jpg;7.7
25812712;神偷奶爸3;https://movie.douban.com/subject/25812712/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2469070974.jpg;6.9
26806780;忍之国;https://movie.douban.com/subject/26806780/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2455420497.jpg;7.1
26942631;起跑线;https://movie.douban.com/subject/26942631/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504275513.jpg;8.1
6311303;加勒比海盗5：死无对证;https://movie.douban.com/subject/6311303/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507654169.jpg;7.3
26874517;哥哥太爱我了怎么办;https://movie.douban.com/subject/26874517/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2446655373.jpg;6.0
26724989;圣鹿之死;https://movie.douban.com/subject/26724989/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2460265520.jpg;6.7
22266012;全球风暴;https://movie.douban.com/subject/22266012/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2501769525.jpg;6.2
26691320;帝一之国;https://movie.douban.com/subject/26691320/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2456938774.jpg;8.1
1578714;神奇女侠;https://movie.douban.com/subject/1578714/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2460006593.jpg;7.1
26648284;母亲！;https://movie.douban.com/subject/26648284/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2495457265.jpg;6.7
26386034;极寒之城;https://movie.douban.com/subject/26386034/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461815940.jpg;7.1
26698000;心理罪;https://movie.douban.com/subject/26698000/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2492869971.jpg;5.1
26260853;速度与激情8;https://movie.douban.com/subject/26260853/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2444256500.jpg;7.1
26425072;明月几时有;https://movie.douban.com/subject/26425072/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2479605659.jpg;6.9
25824686;变形金刚5：最后的骑士;https://movie.douban.com/subject/25824686/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2462475058.jpg;5.0
26348414;追捕;https://movie.douban.com/subject/26348414/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504984545.jpg;4.7
25937854;银河护卫队2;https://movie.douban.com/subject/25937854/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455261804.jpg;8.1
26882533;重返初遇之夜;https://movie.douban.com/subject/26882533/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2512112003.jpg;6.4
26304310;美国行动;https://movie.douban.com/subject/26304310/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2502316684.jpg;7.4
26816086;银魂;https://movie.douban.com/subject/26816086/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2497751588.jpg;7.0
26266085;三个老枪手;https://movie.douban.com/subject/26266085/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2493595992.jpg;7.6
25933890;极盗车神;https://movie.douban.com/subject/25933890/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2496901482.jpg;7.0
26842503;啊，荒野 前篇;https://movie.douban.com/subject/26842503/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2493381063.jpg;8.2
22266126;王牌保镖;https://movie.douban.com/subject/22266126/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498055621.jpg;7.3
